Sample,Lat,Lon,Species,pubT,SE_pubT,Site,d13C,sd13C,d18Oc,sd18Oc,pubD47,SE_pubD47,reprocessedD47,d18Owpub,sd18Owpub,d18Ow,sd18Ow,N
G1,48.92,-11.83,G. bulloides,13.5,0.2,CD94 17B,-0.44,0.11,31.66,0.07,0.707,0.009,0.628,0.57,0.20,0.55,0.20,16
G2,48.92,-11.83,G. truncatulinoides,11.6,0.8,CD94 17B,1.05,0.15,32.45,0.12,0.714,0.009,0.634,0.55,0.20,0.55,0.20,16
G3,48.92,-11.83,G. inflata,12.3,1.0,CD94 17B,0.96,0.05,32.31,0.11,0.711,0.009,0.631,0.56,0.20,0.55,0.20,16
G4,48.92,-11.83,O. universa,13.1,0.8,CD94 17B,2.08,0.17,32.13,0.12,0.706,0.009,0.627,0.57,0.20,0.55,0.20,16
I1,52.93,-16.92,G. bulloides,11.6,0.8,CD107 A ML 5A,-0.41,0.12,32.35,0.21,0.714,0.006,0.635,0.52,0.20,0.49,0.20,30
I2,52.93,-16.92,G. truncatulinoides,11.1,0.9,CD107 A ML 5A,1.18,0.09,32.55,0.07,0.713,0.009,0.635,0.48,0.20,0.49,0.20,16
I4,52.93,-16.92,O. universa,12.1,0.5,CD107 A ML 5A,2.03,0.08,32.00,0.10,0.705,0.009,0.626,0.52,0.20,0.49,0.20,16
I5,52.93,-16.92,G. hirsuta,9.6,1.1,CD107 A ML 5A,1.17,0.08,33.06,0.09,0.722,0.008,0.643,0.44,0.20,0.49,0.20,19
J1,-1.02,157.83,T. trilobus,26.0,0.8,OJP2016 MW0691 1.5BC11,2.22,0.11,28.80,0.09,0.669,0.009,0.592,0.36,0.21,0.22,0.23,16
K1,70.02,-13.56,N. pachyderma,0.8,0.5,GS15-198-62MC,0.77,0.04,34.69,0.05,0.756,0.007,0.676,0.01,0.21,0.23,0.22,28
L1,34.78,-27.66,G. ruber white s.l.,17.0,1.1,KL88,1.05,0.11,31.55,0.09,0.714,0.008,0.635,1.03,0.20,0.78,0.24,19
L2,34.78,-27.66,G. bulloides,13.0,1.1,KL88,-1.18,0.18,32.38,0.14,0.708,0.008,0.628,1.01,0.21,0.78,0.24,17
L4,34.78,-27.66,G. truncatulinoides,11.8,1.1,KL88,0.93,0.14,32.61,0.16,0.725,0.008,0.647,0.71,0.22,0.78,0.24,17
L5,34.78,-27.66,G. inflata,11.3,1.0,KL88,0.80,0.13,32.72,0.15,0.723,0.008,0.645,0.88,0.25,0.78,0.24,17
M1,63.76,5.19,G. bulloides,9.0,0.2,GS06-144-19MC,-0.41,0.11,32.58,0.10,0.714,0.008,0.637,0.29,0.22,0.43,0.21,18
M2,63.76,5.19,G. inflata,8.7,0.4,GS06-144-19MC,0.92,0.05,32.93,0.05,0.720,0.008,0.642,0.37,0.23,0.43,0.21,18
N1,70.13,-17.66,N. pachyderma,0.4,0.3,GS15-198-38MC,0.54,0.06,34.64,0.06,0.753,0.007,0.671,-0.17,0.23,0.19,0.24,23
O1,70.53,-2.76,N. pachyderma,4.3,0.3,GS15-198-63MC,0.39,0.06,33.79,0.07,0.751,0.008,0.669,0.28,0.20,0.31,0.20,21
