Sample,Species,T18,SE_T18,Twoa,SE_Twoa,D47_ICDES,SE_D47_ICDES,Ref
MD08-3179_inflata450,Globorotalia inflata,13.63,0.59,16.57,1.36,0.6247,0.0085,Peral et al. (2018)
MD08-3179_inflata355,Globorotalia inflata,13.79,0.57,16.57,1.36,0.6286,0.0074,Peral et al. (2018)
MD08-3179_truncaS,Globorotalia truncatulinoides (s.),13.92,0.52,16.04,1.26,0.6355,0.0046,Peral et al. (2018)
MD08-3179_inflata400,Globorotalia inflata,14.27,0.58,16.57,1.36,0.6219,0.0073,Peral et al. (2018)
MD08-3179_inflata250,Globorotalia inflata,14.81,0.58,16.57,1.36,0.6224,0.0073,Peral et al. (2018)
E8,Globorotalia menardii,14.83,1.27,20.68,4.53,0.6260,0.0074,Meinicke et al. (2020)
MD08-3179_inflata200,Globorotalia inflata,15.99,0.58,16.57,1.36,0.6272,0.0075,Peral et al. (2018)
MD12-3426_menardi,Globorotalia menardii,16.25,0.82,20.55,3.68,0.6177,0.0058,Peral et al. (2018)
MD08-3179_ruber,Globigerinoides ruber white,16.30,0.50,17.24,1.30,0.6196,0.0053,Peral et al. (2018)
A7,Globorotalia tumida,17.43,1.33,21.54,2.82,0.6110,0.0082,Meinicke et al. (2020)
E4,Neogloboquadrina dutertrei,18.74,0.90,24.16,2.59,0.6040,0.0074,Meinicke et al. (2020)
MD00-2360_menardi,Globorotalia menardii,18.79,0.51,22.27,2.36,0.6085,0.0037,Peral et al. (2018)
MD02-2577_menardi,Globorotalia menardii,19.58,0.53,19.58,2.90,0.6093,0.0054,Peral et al. (2018)
A6,Globigerinoides conglobatus,20.43,1.07,25.47,1.75,0.6090,0.0072,Meinicke et al. (2020)
E2,Trilobatus trilobus,21.10,0.67,20.92,4.63,0.5930,0.0069,Meinicke et al. (2020)
E3,Trilobatus sacculifer,21.25,0.76,20.92,4.63,0.5990,0.0066,Meinicke et al. (2020)
MD00-2360_ruber,Globigerinoides ruber white,21.91,0.52,23.74,1.47,0.5917,0.0058,Peral et al. (2018)
E1,Globigerinoides ruber white,21.92,0.67,23.07,3.12,0.6070,0.0076,Meinicke et al. (2020)
A3,Trilobatus sacculifer,21.97,0.98,26.39,2.07,0.6010,0.0085,Meinicke et al. (2020)
A2,Trilobatus trilobus,22.16,0.98,26.39,2.07,0.6030,0.0070,Meinicke et al. (2020)
A1,Globigerinoides ruber white,22.45,0.73,27.90,0.82,0.6080,0.0080,Meinicke et al. (2020)
B6,Globigerinoides conglobatus,22.50,0.87,23.23,2.34,0.5960,0.0082,Meinicke et al. (2020)
F1,Neogloboquadrina dutertrei,22.67,0.72,23.92,1.38,0.6010,0.0074,Meinicke et al. (2020)
MD02-2577_orbulina,Orbulina universa,22.82,0.56,19.58,2.90,0.6153,0.0074,Peral et al. (2018)
MD02-2577_ruber,Globigerinoides ruber white,23.18,0.52,21.09,1.92,0.5968,0.0053,Peral et al. (2018)
MD12-3426_orbulina,Orbulina universa,23.40,0.88,20.55,3.68,0.6039,0.0073,Peral et al. (2018)
E7,Orbulina universa,23.97,0.89,20.68,4.53,0.6040,0.0076,Meinicke et al. (2020)
J1,Trilobatus trilobus,24.46,0.71,25.52,4.06,0.5920,0.0082,Meinicke et al. (2020)
MD00-2360_orbulina,Orbulina universa,24.53,0.60,22.27,2.36,0.6081,0.0053,Peral et al. (2018)
A5,Orbulina universa,24.85,1.29,26.33,2.06,0.5970,0.0082,Meinicke et al. (2020)
B2,Trilobatus trilobus,25.99,1.00,24.44,2.78,0.5910,0.0076,Meinicke et al. (2020)
B1d,Globigerinoides ruber pink,27.19,0.80,27.55,0.76,0.6010,0.0074,Meinicke et al. (2020)
B1c,Globigerinoides ruber white,27.39,0.93,26.42,1.09,0.6050,0.0078,Meinicke et al. (2020)
B1a,Globigerinoides ruber white,27.79,0.86,26.42,1.09,0.5770,0.0074,Meinicke et al. (2020)
