Sample,Species,Type,Site,Lat,Lon,Depth,d13C_VPDB,SE_d13C_VPDB,d18O_VPDB,SE_d18O_VPDB,D47_ICDES,SE_D47_ICDES,Tpub,SE_Tpub,Twoa23,SE_Twoa23,Twoa23_500m,SE_Twoa23_500m,Twoa23_1500m,SE_Twoa23_1500m,Tbottom_woa23,SE_Tbottom_woa23,Tk18,SE_Tk18,Tk18_500m,SE_Tk18_500m,Tk18_1500m,SE_Tk18_1500m,Tiso_species_offset,Tiso_species,SE_Tiso_species,Tiso_species_500m,SE_Tiso_species_500m,Tiso_species_1500m,SE_Tiso_species_1500m,Tiso_KON97,SE_Tiso_KON97,Tiso_Mulitza03,SE_Tiso_Mulitza03,Twoa23_vs_Tiso_species,Twoa23_500m_vs_Tiso_species_500m,Twoa23_1500m_vs_Tiso_species_1500m,Ref
MD08-3179_inflata450,Globorotalia inflata,planktic,MD08-3179,37.86,-30.30,(30-200),1.002,0.022,1.162,0.050,0.6247,0.0085,,,16.57,1.36,14.75,2.33,11.72,3.21,3.77,0.50,15.89,1.79,15.89,1.79,15.89,1.79,Globorotalia inflata,13.63,0.59,13.40,0.66,12.58,0.89,13.07,0.51,11.54,0.47,,,,Peral et al. (2018)
MD08-3179_ruber,Globigerinoides ruber white,planktic,MD08-3179,37.86,-30.30,(0-120),0.704,0.013,-0.114,0.031,0.6196,0.0053,,,17.24,1.30,14.75,2.33,11.72,3.21,3.77,0.50,17.36,2.27,17.36,2.27,17.36,2.27,Globigerinoides ruber white,16.30,0.50,16.02,0.58,15.19,0.85,19.03,0.50,17.08,0.46,,,,Peral et al. (2018)
MD08-3179_truncaD,Globorotalia truncatulinoides (d.),planktic,MD08-3179,37.86,-30.30,(40-250),0.944,0.009,1.016,0.022,0.6299,0.0041,,,16.04,1.26,14.75,2.33,11.72,3.21,3.77,0.50,15.37,1.62,15.37,1.62,15.37,1.62,Globorotalia truncatulinoides (d.),13.59,0.66,13.36,0.72,12.54,0.94,13.74,0.47,12.16,0.43,,,,Peral et al. (2018)
MD08-3179_truncaS,Globorotalia truncatulinoides (s.),planktic,MD08-3179,37.86,-30.30,(40-250),1.020,0.011,1.047,0.025,0.6355,0.0046,,,16.04,1.26,14.75,2.33,11.72,3.21,3.77,0.50,15.37,1.62,15.37,1.62,15.37,1.62,Globorotalia truncatulinoides (s.),13.92,0.52,13.69,0.60,12.87,0.85,13.59,0.47,12.02,0.44,,,,Peral et al. (2018)
MD12-3426_menardi,Globorotalia menardii,planktic,MD12-3426,19.73,114.61,(0-120),1.629,0.014,-0.398,0.033,0.6177,0.0058,,,20.55,3.68,16.47,5.61,16.47,5.61,2.41,0.50,23.32,2.63,23.32,2.63,23.32,2.63,Globorotalia spp.,16.25,0.82,16.58,0.91,16.58,0.91,15.96,0.80,14.22,0.75,,,,Peral et al. (2018)
MD12-3426_orbulina,Orbulina universa,planktic,MD12-3426,19.73,114.61,(10-130),2.297,0.019,-1.714,0.043,0.6039,0.0073,,,20.55,3.68,16.47,5.61,16.47,5.61,2.41,0.50,22.85,2.59,22.85,2.59,22.85,2.59,Orbulina universa,23.40,0.88,23.60,0.97,23.60,0.97,22.35,0.85,20.15,0.79,,,,Peral et al. (2018)
MD02-2577_menardi,Globorotalia menardii,planktic,MD02-2577,28.84,-86.67,(0-120),1.795,0.013,-0.006,0.031,0.6093,0.0054,,,19.58,2.90,14.90,5.22,14.90,5.22,4.27,0.50,20.93,2.84,20.93,2.84,20.93,2.84,Globorotalia spp.,19.58,0.53,18.39,1.29,16.99,1.28,19.28,0.50,17.30,0.46,,,,Peral et al. (2018)
MD02-2577_orbulina,Orbulina universa,planktic,MD02-2577,28.84,-86.67,(10-130),2.248,0.019,-0.527,0.043,0.6153,0.0074,,,19.58,2.90,14.90,5.22,14.90,5.22,4.27,0.50,20.63,2.64,20.63,2.64,20.63,2.64,Orbulina universa,22.82,0.56,21.61,1.33,20.18,1.32,21.77,0.52,19.61,0.49,,,,Peral et al. (2018)
MD02-2577_ruber,Globigerinoides ruber white,planktic,MD02-2577,28.84,-86.67,(0-120),1.295,0.013,-1.399,0.031,0.5968,0.0053,,,21.09,1.92,14.90,5.22,14.90,5.22,4.27,0.50,20.93,2.84,20.93,2.84,20.93,2.84,Globigerinoides ruber white,23.18,0.52,21.96,1.32,20.52,1.30,26.04,0.52,23.57,0.48,,,,Peral et al. (2018)
MD00-2360_menardi,Globorotalia menardii,planktic,MD00-2360,-20.08,112.67,(0-120),1.718,0.008,-0.439,0.019,0.6085,0.0037,,,22.27,2.36,16.77,5.72,12.87,6.69,5.11,0.50,24.47,1.87,24.47,1.87,24.47,1.87,Globorotalia spp.,18.79,0.51,18.88,0.83,17.56,1.10,18.49,0.48,16.57,0.45,,,,Peral et al. (2018)
MD00-2360_orbulina,Orbulina universa,planktic,MD00-2360,-20.08,112.67,(10-130),2.130,0.013,-1.466,0.031,0.6081,0.0053,,,22.27,2.36,16.77,5.72,12.87,6.69,5.11,0.50,24.17,1.84,24.17,1.84,24.17,1.84,Orbulina universa,24.53,0.60,24.58,0.87,23.21,1.15,23.47,0.56,21.19,0.52,,,,Peral et al. (2018)
MD00-2360_ruber,Globigerinoides ruber white,planktic,MD00-2360,-20.08,112.67,(0-120),0.962,0.014,-1.738,0.033,0.5917,0.0058,,,23.74,1.47,16.77,5.72,12.87,6.69,5.11,0.50,24.47,1.87,24.47,1.87,24.47,1.87,Globigerinoides ruber white,21.91,0.52,22.01,0.84,20.66,1.12,24.76,0.52,22.38,0.48,,,,Peral et al. (2018)
13MC-G_Cpachyderma350,Cibicidoides pachyderma,benthic,13MC-G,24.37,-83.24,348.0,0.606,0.093,1.526,0.136,0.6633,0.0085,9.70,0.50,10.57,0.15,,,,,10.57,0.15,12.09,1.00,,,,,Cibicidoides pachyderma,10.07,0.76,,,,,,,,,,,,Piasecki et al. (2019)
13MC-G_Helegans,Hoeglundina elegans,benthic,13MC-G,24.37,-83.24,348.0,1.820,0.347,2.420,0.507,0.6470,0.0319,9.70,0.50,10.57,0.15,,,,,10.57,0.15,12.09,1.00,,,,,Hoeglundina elegans,11.29,2.32,,,,,,,,,,,,Piasecki et al. (2019)
13MC-G_Helegans350,Hoeglundina elegans,benthic,13MC-G,24.37,-83.24,348.0,1.918,0.093,2.695,0.136,0.6709,0.0085,9.70,0.50,10.57,0.15,,,,,10.57,0.15,12.09,1.00,,,,,Hoeglundina elegans,10.06,0.76,,,,,,,,,,,,Piasecki et al. (2019)
13MC-G_Lconvergens350,Lenticulina convergens,benthic,13MC-G,24.37,-83.24,348.0,-0.048,0.116,1.729,0.169,0.6466,0.0106,9.70,0.50,10.57,0.15,,,,,10.57,0.15,12.09,1.00,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
13MC-G_Lenticulinaiota350,Lenticulina iota,benthic,13MC-G,24.37,-83.24,348.0,0.104,0.110,1.521,0.160,0.6419,0.0101,9.70,0.50,10.57,0.15,,,,,10.57,0.15,12.09,1.00,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
13MC-G_Pserata350,Pyrgo serrata,benthic,13MC-G,24.37,-83.24,348.0,0.564,0.110,2.533,0.160,0.6530,0.0101,9.70,0.50,10.57,0.15,,,,,10.57,0.15,12.09,1.00,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
13MC-G_Uperegina350,Uvigerina peregrina,benthic,13MC-G,24.37,-83.24,348.0,0.087,0.090,1.835,0.131,0.6588,0.0082,9.70,0.50,10.57,0.15,,,,,10.57,0.15,12.09,1.00,,,,,Uvigerina peregrina,10.92,0.76,,,,,,,,,,,,Piasecki et al. (2019)
13MC-G_univ,Uvigerina peregrina,benthic,13MC-G,24.37,-83.24,348.0,0.239,0.060,1.481,0.088,0.6596,0.0056,9.70,0.50,10.57,0.15,,,,,10.57,0.15,12.09,1.00,,,,,Uvigerina peregrina,12.51,0.63,,,,,,,,,,,,Piasecki et al. (2019)
19MC-G_Amphisterigina_radiata350,Amphistegina radiata,benthic,19MC-G,24.42,-83.21,173.0,0.279,0.090,-0.283,0.131,0.6195,0.0082,12.70,0.50,15.40,0.65,,,,,15.40,0.65,19.12,1.02,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
19MC-G_Helegans,Hoeglundina elegans,benthic,19MC-G,24.42,-83.21,173.0,2.000,0.347,1.700,0.507,0.6980,0.0319,12.70,0.50,15.40,0.65,,,,,15.40,0.65,19.12,1.02,,,,,Hoeglundina elegans,16.35,2.40,,,,,,,,,,,,Piasecki et al. (2019)
19MC-G_Lenticulinaconvergens350,Lenticulina convergens,benthic,19MC-G,24.42,-83.21,173.0,-0.568,0.096,0.298,0.141,0.6553,0.0088,12.70,0.50,15.40,0.65,,,,,15.40,0.65,19.12,1.02,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
19MC-G_Lenticulinaiota350,Lenticulina iota,benthic,19MC-G,24.42,-83.21,173.0,0.145,0.096,1.014,0.141,0.6536,0.0088,12.70,0.50,15.40,0.65,,,,,15.40,0.65,19.12,1.02,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
19MC-G_pyrgo,Pyrgo,benthic,19MC-G,24.42,-83.21,173.0,0.768,0.155,1.332,0.227,0.6288,0.0143,12.70,0.50,15.40,0.65,,,,,15.40,0.65,19.12,1.02,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
50MC-G_Cpachy355,Cibicidoides pachyderma,benthic,50MC-G,24.41,-83.22,198.0,0.585,0.060,1.247,0.088,0.6566,0.0056,12.10,0.50,14.32,0.54,,,,,14.32,0.54,17.96,1.02,,,,,Cibicidoides pachyderma,12.75,0.61,,,,,,,,,,,,Piasecki et al. (2019)
50MC-G_Lenticulina_convergens355,Lenticulina convergens,benthic,50MC-G,24.41,-83.22,198.0,-0.583,0.105,1.102,0.153,0.6720,0.0096,12.10,0.50,14.32,0.54,,,,,14.32,0.54,17.96,1.02,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
50MC-G_pyrgospp,Pyrgo,benthic,50MC-G,24.41,-83.22,198.0,0.800,0.200,1.363,0.293,0.6127,0.0184,12.10,0.50,14.32,0.54,,,,,14.32,0.54,17.96,1.02,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
53MC-G_Cpachyderma355,Cibicidoides pachyderma,benthic,53MC-G,24.38,-83.23,302.0,0.556,0.093,1.432,0.136,0.6493,0.0085,10.00,0.50,11.58,0.33,,,,,11.58,0.33,13.35,1.01,,,,,Cibicidoides pachyderma,10.80,0.76,,,,,,,,,,,,Piasecki et al. (2019)
53MC-G_Lenticulinaiota355,Lenticulina iota,benthic,53MC-G,24.38,-83.23,302.0,-0.154,0.053,1.418,0.077,0.6559,0.0049,10.00,0.50,11.58,0.33,,,,,11.58,0.33,13.35,1.01,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
53MC-G_lenticulinaconvergens355,Lenticulina convergens,benthic,53MC-G,24.38,-83.23,302.0,0.041,0.105,1.594,0.153,0.6633,0.0096,10.00,0.50,11.58,0.33,,,,,11.58,0.33,13.35,1.01,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
53MC-G_pyrgoserrata355,Pyrgo serrata,benthic,53MC-G,24.38,-83.23,302.0,0.429,0.078,2.438,0.113,0.6873,0.0071,10.00,0.50,11.58,0.33,,,,,11.58,0.33,13.35,1.01,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
89MC-G_Cpachyderma,Cibicidoides pachyderma,benthic,89MC-G,24.56,-79.24,353.0,1.296,0.155,0.292,0.227,0.6230,0.0143,17.80,0.50,15.23,0.50,,,,,15.23,0.50,12.15,1.01,,,,,Cibicidoides pachyderma,15.66,1.15,,,,,,,,,,,,Piasecki et al. (2019)
89MC-G_Helegans,Hoeglundina elegans,benthic,89MC-G,24.56,-79.24,353.0,1.088,0.068,-0.077,0.099,0.6232,0.0063,17.80,0.50,15.23,0.50,,,,,15.23,0.50,12.15,1.01,,,,,Hoeglundina elegans,22.93,0.70,,,,,,,,,,,,Piasecki et al. (2019)
89MC-G_Lenticulinaspp,Lenticulina,benthic,89MC-G,24.56,-79.24,353.0,0.672,0.155,0.258,0.227,0.6372,0.0143,17.80,0.50,15.23,0.50,,,,,15.23,0.50,12.15,1.01,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
89MC-G_pyrgo,Pyrgo,benthic,89MC-G,24.56,-79.24,353.0,1.530,0.245,0.850,0.359,0.6365,0.0226,17.80,0.50,15.23,0.50,,,,,15.23,0.50,12.15,1.01,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
94MC-G_Amphistegina_lessoni,Amphistegina lessoni,benthic,94MC-G,24.57,-79.23,259.0,0.388,0.067,-1.814,0.098,0.6064,0.0061,18.50,0.50,18.11,0.50,,,,,18.11,0.50,15.42,1.01,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
94MC-G_Helegans,Hoeglundina elegans,benthic,94MC-G,24.57,-79.23,259.0,1.354,0.076,0.532,0.111,0.6210,0.0070,18.50,0.50,18.11,0.50,,,,,18.11,0.50,15.42,1.01,,,,,Hoeglundina elegans,20.82,0.73,,,,,,,,,,,,Piasecki et al. (2019)
94MC-G_lenticulinaiota,Lenticulina iota,benthic,94MC-G,24.57,-79.23,259.0,-0.147,0.200,0.020,0.293,0.6280,0.0184,18.50,0.50,18.11,0.50,,,,,18.11,0.50,15.42,1.01,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
94MC-G_umbonatus,Oridorsalus umbonatus,benthic,94MC-G,24.57,-79.23,259.0,1.437,0.131,0.123,0.192,0.6394,0.0121,18.50,0.50,18.11,0.50,,,,,18.11,0.50,15.42,1.01,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
94MC-G_uperigini,Uvigerina peregrina,benthic,94MC-G,24.57,-79.23,259.0,0.430,0.347,0.570,0.507,0.6070,0.0319,18.50,0.50,18.11,0.50,,,,,18.11,0.50,15.42,1.01,,,,,Uvigerina peregrina,17.48,2.43,,,,,,,,,,,,Piasecki et al. (2019)
GS06-144-19_Melonis_barleanum,Melonis barleannum,benthic,GS06-144-19,63.83,5.27,830.0,-2.345,0.078,3.926,0.113,0.6966,0.0071,-0.74,0.50,-0.54,0.10,,,,,-0.54,0.10,2.33,1.00,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
GS07-150-17-2_pyrgo,Pyrgo,benthic,GS07-150-17-2,-4.47,-37.21,1000.0,0.992,0.076,3.058,0.111,0.6802,0.0070,4.17,0.50,4.17,0.10,,,,,4.17,0.10,4.81,1.00,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
GS07-150-22-1_Cpachyderma,Cibicidoides pachyderma,benthic,GS07-150-22-1,-4.33,-37.16,598.0,1.030,0.096,2.190,0.141,0.6999,0.0088,6.06,0.50,6.14,0.13,,,,,6.14,0.13,6.23,1.00,,,,,Cibicidoides pachyderma,5.03,0.75,,,,,,,,,,,,Piasecki et al. (2019)
GS07-150-22-1_Planulina_ariminensis,Planulina ariminensis,benthic,GS07-150-22-1,-4.33,-37.16,598.0,1.560,0.200,1.963,0.293,0.6513,0.0184,6.06,0.50,6.14,0.13,,,,,6.14,0.13,6.23,1.00,,,,,Planulina ariminensis,5.87,1.35,,,,,,,,,,,,Piasecki et al. (2019)
GS07-150-22-1_pyrgo,Pyrgo,benthic,GS07-150-22-1,-4.33,-37.16,598.0,0.814,0.054,2.347,0.078,0.6700,0.0049,6.06,0.50,6.14,0.13,,,,,6.14,0.13,6.23,1.00,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
MP43-BC_U_med,Uvigerina mediterranea,benthic,MP43-BC,39.72,16.97,246.0,0.462,0.100,2.123,0.146,0.6392,0.0092,13.90,0.50,14.28,0.15,,,,,14.28,0.15,15.25,1.00,,,,,Uvigerina spp.,14.27,0.82,,,,,,,,,,,,Piasecki et al. (2019)
MP46-MC_Cmundulus,Cibicidoides mundulus,benthic,MP46-MC,39.54,17.25,582.0,1.540,0.105,1.631,0.153,0.6653,0.0096,13.90,0.50,13.91,0.10,,,,,13.91,0.10,15.14,1.00,,,,,Cibicidoides spp.,14.39,0.84,,,,,,,,,,,,Piasecki et al. (2019)
MP46-MC_Helegans,Hoeglundina elegans,benthic,MP46-MC,39.54,17.25,582.0,2.040,0.347,2.380,0.507,0.6410,0.0319,13.90,0.50,13.91,0.10,,,,,13.91,0.10,15.14,1.00,,,,,Hoeglundina elegans,16.35,2.40,,,,,,,,,,,,Piasecki et al. (2019)
MP46MC_cibpachyderma,Cibicidoides pachyderma,benthic,MP46-MC,39.54,17.25,582.0,1.173,0.142,1.675,0.207,0.6725,0.0130,13.90,0.50,13.91,0.10,,,,,13.91,0.10,15.14,1.00,,,,,Cibicidoides pachyderma,14.22,1.06,,,,,,,,,,,,Piasecki et al. (2019)
MP46MC_med,Uvigerina mediterranea,benthic,MP46-MC,39.54,17.25,582.0,0.347,0.071,2.102,0.104,0.6393,0.0065,13.90,0.50,13.91,0.10,,,,,13.91,0.10,15.14,1.00,,,,,Uvigerina spp.,14.55,0.67,,,,,,,,,,,,Piasecki et al. (2019)
MP46MC_melonis,Melonis,benthic,MP46-MC,39.54,17.25,582.0,0.615,0.142,1.752,0.207,0.6390,0.0130,13.90,0.50,13.91,0.10,,,,,13.91,0.10,15.14,1.00,,,,,,,,,,,,,,,,,,,Piasecki et al. (2019)
S0213-54-4_Cpachy,Cibicidoides pachyderma,benthic,SO213-54-4,-43.72,-120.67,3840.0,0.380,0.142,2.930,0.207,0.6702,0.0130,1.42,0.50,1.48,0.50,,,,,1.48,0.50,-0.05,1.00,,,,,Cibicidoides pachyderma,1.06,0.96,,,,,,,,,,,,Piasecki et al. (2019)
SO213-71-2_Cibicides_lobatus,Cibicidoides lobatus,benthic,SO213-71-2,-45.58,-157.90,689.0,1.313,0.200,1.937,0.293,0.6557,0.0184,3.77,0.50,6.88,0.10,,,,,6.88,0.10,7.62,1.00,,,,,Cibicidoides spp.,6.00,1.34,,,,,,,,,,,,Piasecki et al. (2019)
SO213-71-2_Upergina,Uvigerina peregrina,benthic,SO213-71-2,-45.58,-157.90,689.0,0.427,0.064,4.511,0.094,0.6717,0.0059,3.77,0.50,6.88,0.10,,,,,6.88,0.10,7.62,1.00,,,,,Uvigerina peregrina,-2.63,0.58,,,,,,,,,,,,Piasecki et al. (2019)
A1,Globigerinoides ruber white,planktic,SO225-53-1,-13.52,-162.14,(0-120),1.750,0.190,-1.580,0.090,0.6080,0.0080,,,27.90,0.82,19.02,7.23,11.33,8.66,1.67,0.50,27.40,1.41,27.40,1.41,27.40,1.41,Globigerinoides ruber white,22.45,0.73,21.54,1.28,20.00,1.41,25.31,0.74,22.89,0.69,discordant,,,Meinicke et al. (2020)
A2,Trilobatus trilobus,planktic,SO225-53-1,-13.52,-162.14,(0-200),1.850,0.200,-1.410,0.160,0.6030,0.0070,,,26.39,2.07,19.02,7.23,11.33,8.66,1.67,0.50,25.89,2.37,25.89,2.37,25.89,2.37,Trilobatus sacculifer,22.16,0.98,21.10,1.43,19.57,1.54,24.62,0.98,22.25,0.91,,,,Meinicke et al. (2020)
A3,Trilobatus sacculifer,planktic,SO225-53-1,-13.52,-162.14,(0-200),2.480,0.230,-1.370,0.160,0.6010,0.0085,,,26.39,2.07,19.02,7.23,11.33,8.66,1.67,0.50,25.89,2.37,25.89,2.37,25.89,2.37,Trilobatus sacculifer,21.97,0.98,20.91,1.43,19.38,1.54,24.42,0.98,22.07,0.91,,,,Meinicke et al. (2020)
A4,Pulleniatina obliquiloculata,planktic,SO225-53-1,-13.52,-162.14,(0-100),1.500,0.140,-0.230,0.250,0.6010,0.0072,,,28.61,0.56,19.02,7.23,11.33,8.66,1.67,0.50,27.70,1.28,27.70,1.28,27.70,1.28,all planktics,17.19,1.28,16.40,1.65,14.92,1.73,18.68,1.29,16.75,1.20,discordant,,,Meinicke et al. (2020)
A5,Orbulina universa,planktic,SO225-53-1,-13.52,-162.14,(10-130),3.170,0.200,-1.260,0.230,0.5970,0.0082,,,26.33,2.06,19.02,7.23,11.33,8.66,1.67,0.50,27.14,1.48,27.14,1.48,27.14,1.48,Orbulina universa,24.85,1.29,23.87,1.67,22.31,1.77,23.78,1.27,21.48,1.18,,,,Meinicke et al. (2020)
A6,Globigerinoides conglobatus,planktic,SO225-53-1,-13.52,-162.14,(0-50),2.360,0.110,-1.220,0.200,0.6090,0.0072,,,25.47,1.75,19.02,7.23,11.33,8.66,1.67,0.50,28.24,1.22,28.24,1.22,28.24,1.22,Globigerinoides spp.,20.43,1.07,19.81,1.53,18.30,1.62,23.24,1.09,20.98,1.01,,,,Meinicke et al. (2020)
A7,Globorotalia tumida,planktic,SO225-53-1,-13.52,-162.14,(0-110),2.280,0.170,0.110,0.260,0.6110,0.0082,,,21.54,2.82,19.02,7.23,11.33,8.66,1.67,0.50,27.56,1.34,27.56,1.34,27.56,1.34,Globorotalia spp.,17.43,1.33,16.59,1.69,15.10,1.77,17.13,1.32,15.31,1.22,,,,Meinicke et al. (2020)
