corename,latitude,longitude,species,d18oc,reference,doi,subspecies,foram,t_annual,gridlat,gridlon,griddistance,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,t_seasonal,d18osw
GeoB3301-2,-33.15,-71.98,G. bulloides,2.64,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,14.804057121276855,-33.5,-72.5,62.10808541104403,1,1,1,1,1,1,1,1,1,1,1,1,14.804057121276855,-0.07348690927028656
16304-1,68.2633,12.3417,G. bulloides,2.06,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,7.764984607696533,68.5,12.5,27.137324194093864,1,1,1,1,1,1,1,1,1,1,1,1,7.764984607696533,0.1357610821723938
16302-1,67.75,11.1838,G. bulloides,1.82,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,8.0184965133667,67.5,11.5,30.88741268478614,1,1,1,1,1,1,1,1,1,1,1,1,8.0184965133667,0.09143950045108795
16301,67.6908,11.0333,G. bulloides,1.82,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,8.0184965133667,67.5,11.5,29.038215279562284,1,1,1,1,1,1,1,1,1,1,1,1,8.0184965133667,0.09143950045108795
90.15,47.62,-20.92,G. bulloides,1.11,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,14.343104362487793,47.5,-20.5,34.261871456795795,1,1,1,1,1,1,1,1,1,1,1,1,14.343104362487793,0.611230194568634
90.13,44.0,-20.02,G. bulloides,0.7,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,15.546648979187012,44.5,-20.5,67.54891284610042,1,1,1,1,1,1,1,1,1,1,1,1,15.546648979187012,0.6897323131561279
90.11,45.0,-24.66,G. bulloides,0.47,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,15.277762413024902,45.5,-24.5,57.05449361334992,1,1,1,1,1,1,1,1,1,1,1,1,15.277762413024902,0.6711506247520447
90.1,45.35,-27.15,G. bulloides,0.86,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,15.393128395080566,45.5,-27.5,32.04009351365404,1,1,1,1,1,1,1,1,1,1,1,1,15.393128395080566,0.6697179079055786
90.08,46.21,-23.72,G. bulloides,0.62,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,14.78551197052002,46.5,-23.5,36.439970196616414,1,1,1,1,1,1,1,1,1,1,1,1,14.78551197052002,0.6469382047653198
90.07,46.29,-23.6,G. bulloides,1.3,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,14.78551197052002,46.5,-23.5,24.605520617866404,1,1,1,1,1,1,1,1,1,1,1,1,14.78551197052002,0.6469382047653198
90.05,45.99,-23.85,G. bulloides,0.68,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,15.243657112121582,45.5,-23.5,60.94713753990208,1,1,1,1,1,1,1,1,1,1,1,1,15.243657112121582,0.6715365648269653
90.04,47.17,-21.39,G. bulloides,0.97,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,14.339701652526855,47.5,-21.5,37.66105137061784,1,1,1,1,1,1,1,1,1,1,1,1,14.339701652526855,0.6101452112197876
90.03,47.67,-20.81,G. bulloides,0.77,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,14.343104362487793,47.5,-20.5,29.99844882174291,1,1,1,1,1,1,1,1,1,1,1,1,14.343104362487793,0.611230194568634
90.02,53.06,-20.8,G. bulloides,1.22,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,11.91183090209961,53.5,-20.5,52.89395493401708,1,1,1,1,1,1,1,1,1,1,1,1,11.91183090209961,0.4599928855895996
90.01,58.5,-20.49,G. bulloides,1.85,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,10.335232734680176,58.5,-20.5,0.5816427409058043,1,1,1,1,1,1,1,1,1,1,1,1,10.335232734680176,0.4058992266654968
88.19,31.31,-30.48,G. bulloides,0.9,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,21.832674026489258,31.5,-30.5,21.235882830795003,1,1,1,1,1,1,1,1,1,1,1,1,21.832674026489258,1.1323177814483643
88.18,33.75,-32.16,G. bulloides,1.3,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,21.383981704711914,33.5,-32.5,42.04444606410234,1,1,1,1,1,1,1,1,1,1,1,1,21.383981704711914,1.094846487045288
88.17,33.85,-30.09,G. bulloides,1.07,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,21.18788719177246,33.5,-30.5,54.41181003036895,1,1,1,1,1,1,1,1,1,1,1,1,21.18788719177246,1.0851824283599854
16305-1/2,68.232,12.475,G. bulloides,1.82,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,7.764984607696533,68.5,12.5,29.85123360179524,1,1,1,1,1,1,1,1,1,1,1,1,7.764984607696533,0.1357610821723938
GIK12313-2,22.48,-17.15,G. bulloides,-0.17,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.476106643676758,22.5,-17.5,36.067356442300486,1,1,1,1,1,1,1,1,1,1,1,1,19.476106643676758,1.0606310367584229
16306-3,68.185,12.3,G. bulloides,1.38,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,7.764984607696533,68.5,12.5,36.0153527303134,1,1,1,1,1,1,1,1,1,1,1,1,7.764984607696533,0.1357610821723938
80-KB-11,36.5,24.33,G. bulloides,1.45,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.34885597229004,36.5,24.5,15.21243360700375,1,1,1,1,1,1,1,1,1,1,1,1,19.34885597229004,1.579625129699707
GeoB1023-5,-17.1572,11.0117,G. bulloides,0.043000000000000003,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,17.404043197631836,-17.5,11.5,64.41079741244151,1,1,1,1,1,1,1,1,1,1,1,1,17.404043197631836,0.7274574041366577
GeoB1008-3,-6.5823,10.3186,G. bulloides,-1.3,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,25.874832153320312,-6.5,10.5,22.054799755085437,1,1,1,1,1,1,1,1,1,1,1,1,25.874832153320312,0.5688601136207581
E11-2,-56.0,-115.0,G. bulloides,2.28,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,5.167256832122803,-56.5,-115.5,63.672192919511104,1,1,1,1,1,1,1,1,1,1,1,1,5.167256832122803,-0.2928188443183899
CS 72-37,36.69,12.28,G. bulloides,1.07,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.325185775756836,36.5,12.5,28.878431913471605,1,1,1,1,1,1,1,1,1,1,1,1,19.325185775756836,1.3275810480117798
CHN 82-20,43.5,-29.87,G. bulloides,0.2,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,16.519432067871094,43.5,-29.5,29.87682116407932,1,1,1,1,1,1,1,1,1,1,1,1,16.519432067871094,0.7318755984306335
CH67-19,45.75,-3.95,G. bulloides,1.47,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,15.20372486114502,45.5,-3.5,44.741527578786076,1,1,1,1,1,1,1,1,1,1,1,1,15.20372486114502,0.5030682682991028
CH 77-02,52.71,-36.09,G. bulloides,1.68,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,8.912692070007324,52.5,-36.5,36.25974439421422,1,1,1,1,1,1,1,1,1,1,1,1,8.912692070007324,0.1774383783340454
CH 73-139C,54.64,-16.36,G. bulloides,0.92,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,11.85547924041748,54.5,-16.5,18.014079655593196,1,1,1,1,1,1,1,1,1,1,1,1,11.85547924041748,0.48784971237182617
CH 69-K09,41.76,-47.35,G. bulloides,1.13,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,16.275514602661133,41.5,-47.5,31.519363744921623,1,1,1,1,1,1,1,1,1,1,1,1,16.275514602661133,0.3699361979961395
BOFS Core 8K,52.5,-22.07,G. bulloides,1.31,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,12.03011703491211,52.5,-22.5,29.1397468995382,1,1,1,1,1,1,1,1,1,1,1,1,12.03011703491211,0.4457421898841858
BOFS Core 5K,50.69,-21.87,G. bulloides,0.94,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,13.001736640930176,50.5,-21.5,33.62987002045007,1,1,1,1,1,1,1,1,1,1,1,1,13.001736640930176,0.5127182006835938
BOFS Core 17K,58.0,-16.51,G. bulloides,1.54,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,10.517659187316895,58.5,-16.5,55.662650944343014,1,1,1,1,1,1,1,1,1,1,1,1,10.517659187316895,0.4366561472415924
AHF-28181,33.01,-119.06,G. bulloides,-0.12,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,15.614584922790527,33.5,-119.5,68.21239728303131,1,1,1,1,1,1,1,1,1,1,1,1,15.614584922790527,-0.4672453999519348
AHF-16832,31.87,-118.12,G. bulloides,-1.205,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,16.839860916137695,31.5,-118.5,54.70077572439611,1,1,1,1,1,1,1,1,1,1,1,1,16.839860916137695,-0.3888838589191437
AHF-16830,31.47,-118.42,G. bulloides,0.01,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,16.839860916137695,31.5,-118.5,8.29629824383582,1,1,1,1,1,1,1,1,1,1,1,1,16.839860916137695,-0.3888838589191437
AHF-11343,32.8,-119.86,G. bulloides,0.49000001,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,16.175203323364258,32.5,-119.5,47.47438791414655,1,1,1,1,1,1,1,1,1,1,1,1,16.175203323364258,-0.43622416257858276
90-564,-45.52,174.95,G. bulloides,1.59,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,10.91064167022705,-45.5,174.5,35.17538949457081,1,1,1,1,1,1,1,1,1,1,1,1,10.91064167022705,0.09277549386024475
31-02,70.0,3.9917,G. bulloides,2.1,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,6.1724066734313965,70.5,3.5,58.65181705370619,1,1,1,1,1,1,1,1,1,1,1,1,6.1724066734313965,0.3538399040699005
GIK12314-2,22.5,-17.22,G. bulloides,-0.1,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.476106643676758,22.5,-17.5,28.796795096537988,1,1,1,1,1,1,1,1,1,1,1,1,19.476106643676758,1.0606310367584229
GIK12315-2,22.71,-17.16,G. bulloides,-0.22,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.476106643676758,22.5,-17.5,42.03987192644848,1,1,1,1,1,1,1,1,1,1,1,1,19.476106643676758,1.0606310367584229
GIK12316-1,22.71,-17.13,G. bulloides,-0.14,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.476106643676758,22.5,-17.5,44.635204083442524,1,1,1,1,1,1,1,1,1,1,1,1,19.476106643676758,1.0606310367584229
GIK15631-1,29.02,-11.9,G. bulloides,-0.51,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.36009407043457,29.5,-11.5,66.06147513622854,1,1,1,1,1,1,1,1,1,1,1,1,19.36009407043457,1.09347665309906
GIK15630-1,29.04,-11.92,G. bulloides,-0.43,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.36009407043457,29.5,-11.5,65.46374339548181,1,1,1,1,1,1,1,1,1,1,1,1,19.36009407043457,1.09347665309906
GIK15629-1,29.06,-11.95,G. bulloides,-0.45,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.36009407043457,29.5,-11.5,65.63677144630188,1,1,1,1,1,1,1,1,1,1,1,1,19.36009407043457,1.09347665309906
GIK15628-4,29.08,-11.98,G. bulloides,-0.16,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.36009407043457,29.5,-11.5,66.01252555213001,1,1,1,1,1,1,1,1,1,1,1,1,19.36009407043457,1.09347665309906
GIK15627-2,29.17,-12.09,G. bulloides,-0.68,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.74147605895996,29.5,-12.5,54.153349853587535,1,1,1,1,1,1,1,1,1,1,1,1,19.74147605895996,1.1041303873062134
GIK15626-1,29.22,-12.84,G. bulloides,-0.22,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,19.74147605895996,29.5,-12.5,45.383668896856044,1,1,1,1,1,1,1,1,1,1,1,1,19.74147605895996,1.1041303873062134
GIK13588-2,19.62,-17.25,G. bulloides,-0.46,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.786907196044922,19.5,-17.5,29.43014652034102,1,1,1,1,1,1,1,1,1,1,1,1,20.786907196044922,0.8879484534263611
GIK13587-1,19.65,-17.23,G. bulloides,-0.38,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.786907196044922,19.5,-17.5,32.8753733383146,1,1,1,1,1,1,1,1,1,1,1,1,20.786907196044922,0.8879484534263611
GIK13586-1,19.68,-17.2,G. bulloides,-0.31,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.786907196044922,19.5,-17.5,37.301498103764224,1,1,1,1,1,1,1,1,1,1,1,1,20.786907196044922,0.8879484534263611
GIK13585-1,19.69,-17.15,G. bulloides,-0.11,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.786907196044922,19.5,-17.5,42.363084934786315,1,1,1,1,1,1,1,1,1,1,1,1,20.786907196044922,0.8879484534263611
GIK13584-2,19.7,-17.14,G. bulloides,-0.12,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.786907196044922,19.5,-17.5,43.82873121680961,1,1,1,1,1,1,1,1,1,1,1,1,20.786907196044922,0.8879484534263611
GIK13583-1,19.71,-17.11,G. bulloides,-0.36,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.786907196044922,19.5,-17.5,47.10735936016716,1,1,1,1,1,1,1,1,1,1,1,1,20.786907196044922,0.8879484534263611
GIK13557-1,19.75,-17.12,G. bulloides,-0.01,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.786907196044922,19.5,-17.5,48.600857253320775,1,1,1,1,1,1,1,1,1,1,1,1,20.786907196044922,0.8879484534263611
GIK13536-2,21.0,-17.58,G. bulloides,-0.42,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,18.97853660583496,21.5,-17.5,56.27501157535498,1,1,1,1,1,1,1,1,1,1,1,1,18.97853660583496,1.0033361911773682
GIK13534-1,21.02,-17.88,G. bulloides,-0.15,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,18.97853660583496,21.5,-17.5,66.40187125668481,1,1,1,1,1,1,1,1,1,1,1,1,18.97853660583496,1.0033361911773682
GIK13533-1,20.99,-18.03,G. bulloides,0.25,Waelbroeck et al (2005),10.1016/j.quascirev.2003.10.014,NA,G. bulloides,20.725204467773438,20.5,-18.5,73.27481040524472,1,1,1,1,1,1,1,1,1,1,1,1,20.725204467773438,0.9552996158599854
